Fig.12(a),simulation,,,,,,theory,,,,,,,
,,,,,,,,,,,,,,
,,20°,,40°,,60°,,20°,,40°,,60°,,
,t,s,t,s,t,s,t,s,t,s,t,s,,
,0.5024,0.0088,0.5024,0.00798666666666667,0.8032,0.00828,,,,,,,,
,0.5056,0.00882666666666667,0.5056,0.00801333333333333,0.8096,0.00832,,,,,,,,
,0.5088,0.00886666666666667,0.5088,0.00804,0.8128,0.00833333333333333,,,,,,,,
,0.512,0.00889333333333333,0.512,0.00806666666666667,0.816,0.00836,,,,,,,,
,0.5152,0.00893333333333333,0.5152,0.00810666666666667,0.8192,0.00837333333333333,,,,,,,,
,0.5184,0.00896,0.5184,0.00813333333333333,0.8256,0.00841333333333333,,,,,,,,
,0.5216,0.00898666666666667,0.5216,0.00816,0.832,0.00845333333333333,,,,,,,,
,0.5248,0.00902666666666667,0.5248,0.00818666666666667,0.8352,0.00846666666666667,,,,,,,,
,0.528,0.00905333333333333,0.528,0.00821333333333333,0.8416,0.00850666666666667,,,,,,,,
,0.5312,0.00909333333333333,0.5312,0.00825333333333333,0.848,0.00854666666666667,,,,,,,,
,0.5344,0.00912,0.5344,0.00828,0.8512,0.00856,,,,,,,,
,0.5376,0.00914666666666667,0.5376,0.00830666666666667,0.8576,0.0086,,,,,,,,
,0.5408,0.00918666666666667,0.5408,0.00833333333333333,0.8672,0.00865333333333333,,,,,,,,
,0.544,0.00921333333333333,0.544,0.00836,0.8736,0.00869333333333333,,,,,,,,
,0.5472,0.00924,0.5472,0.00838666666666667,0.8832,0.00874666666666667,,,,,,,,
,0.5504,0.00928,0.5504,0.00842666666666667,0.8928,0.0088,,,,,,,,
,0.5536,0.00930666666666667,0.5536,0.00845333333333333,0.928,0.009,,,,,,,,
,0.5568,0.00933333333333333,0.5568,0.00848,0.9376,0.00905333333333333,,,,,,,,
,0.56,0.00937333333333333,0.56,0.00850666666666667,0.9696,0.00922666666666667,,,,,,,,
,0.5632,0.0094,0.5632,0.00853333333333333,1.0016,0.0094,,,,,,,,
,0.5664,0.00942666666666667,0.5664,0.00856,1.0368,0.00958666666666667,,,,,,,,
,0.5696,0.00946666666666667,0.5696,0.00858666666666667,1.0752,0.00978666666666667,,,,,,,,
,0.5728,0.00949333333333333,0.5728,0.00861333333333333,1.088,0.00985333333333333,,,,,,,,
,0.576,0.00952,0.576,0.00864,1.1008,0.00992,,,,,,,,
,0.5792,0.00956,0.5792,0.00868,1.1168,0.01,,,,,,,,
,0.5824,0.00958666666666667,0.5824,0.00870666666666667,1.1296,0.0100666666666667,,,,,,,,
,0.5856,0.00961333333333333,0.5856,0.00873333333333333,1.1328,0.01008,,,,,,,,
,0.5888,0.00964,0.5888,0.00876,1.1456,0.0101466666666667,,,,,,,,
,0.592,0.00968,0.592,0.00878666666666667,1.1488,0.01016,,,,,,,,
,0.5952,0.00970666666666667,0.5952,0.00881333333333333,1.1616,0.0102266666666667,,,,,,,,
,0.5984,0.00973333333333333,0.5984,0.00884,1.1648,0.01024,,,,,,,,
,0.6016,0.00977333333333333,0.6016,0.00886666666666667,1.1776,0.0103066666666667,,,,,,,,
,0.6048,0.0098,0.6048,0.00889333333333333,1.1808,0.01032,,,,,,,,
