case,radius,eps_solid,theta_deg,ghost_count,raw_min,raw_max,raw_mean,clamped_min,clamped_max,clamped_mean,clamp_fraction,max_clamp_excess,mean_clamp_excess,bounded
sphere,16.0,0.8,90.0,5144,1.0737222366774546e-06,0.9997529959910886,0.3810031621574007,1.0737222366774546e-06,0.9997529959910886,0.3810031621574007,0.0,0.0,0.0,True
sphere,16.0,0.8,120.0,5144,8.85313822254115e-07,0.9997454318367199,0.35458280767200756,8.85313822254115e-07,0.9997454318367199,0.35458280767200756,0.0,0.0,0.0,True
plane,16.0,1.0,60.0,18432,1.8473587210721893e-15,0.9999999999999125,0.46952813060812976,1.8473587210721893e-15,0.9999999999999125,0.46952813060812976,0.0,0.0,0.0,True
plane,16.0,1.0,90.0,18432,1.1102230246251565e-15,0.9999999999997388,0.45750000000001556,1.1102230246251565e-15,0.9999999999997388,0.45750000000001556,0.0,0.0,0.0,True
plane,16.0,1.0,120.0,18432,3.7308732817812406e-16,0.9999999999995884,0.4454718693919016,3.7308732817812406e-16,0.9999999999995884,0.4454718693919016,0.0,0.0,0.0,True
cylinder_z,16.0,1.0,60.0,13440,1.7426275119925957e-15,0.9999999999999142,0.4697300657827709,1.7426275119925957e-15,0.9999999999999142,0.4697300657827709,0.0,0.0,0.0,True
cylinder_z,16.0,1.0,90.0,13440,1.1657341758564144e-15,0.9999999999997438,0.4577019248531765,1.1657341758564144e-15,0.9999999999997438,0.4577019248531765,0.0,0.0,0.0,True
cylinder_z,16.0,1.0,120.0,13440,3.615764953432015e-16,0.9999999999995961,0.44567378392358226,3.615764953432015e-16,0.9999999999995961,0.44567378392358226,0.0,0.0,0.0,True
sphere,16.0,1.0,60.0,5144,1.173747749867384e-06,0.9998035322405274,0.4140025222967993,1.173747749867384e-06,0.9998035322405274,0.4140025222967993,0.0,0.0,0.0,True
sphere,16.0,1.0,90.0,5144,1.0737222366774546e-06,0.9997529959910886,0.3810031621574007,1.0737222366774546e-06,0.9997529959910886,0.3810031621574007,0.0,0.0,0.0,True
sphere,16.0,1.0,120.0,5144,8.078131935508283e-07,0.9997436653753063,0.34800380201800213,8.078131935508283e-07,0.9997436653753063,0.34800380201800213,0.0,0.0,0.0,True
